888901405 眼光 555
205 杨青 100
206 莱恩 80
207 葛叶 54
208 苳琦 99
209 黄曦 59
210 梦媛 68
211 涵钰 88
212 含钰 90
213 海萍 97
214 智妍 74
215 瑞楠 82

平均分为120.50

成绩为100有1人
成绩为90~99有3人
成绩为80~89有3人
成绩为70~79有1人
成绩为60~69有1人
不及格的有3人

888901405 眼光 555
205 杨青 100
208 苳琦 99
213 海萍 97
212 含钰 90
211 涵钰 88
215 瑞楠 82
206 莱恩 80
214 智妍 74
210 梦媛 68
207 葛叶 60
209 黄曦 59

444 杨阿姨 99
205 杨青 100
206 莱恩 80
207 葛叶 54
208 苳琦 99
209 黄曦 59
210 梦媛 68
211 涵钰 88
212 含钰 90
213 海萍 97
214 智妍 74
215 瑞楠 82

平均分为82.50

成绩为100有1人
成绩为90~99有4人
成绩为80~89有3人
成绩为70~79有1人
成绩为60~69有1人
不及格的有2人

205 杨青 100
444 杨阿姨 99
208 苳琦 99
213 海萍 97
212 含钰 90
211 涵钰 88
215 瑞楠 82
206 莱恩 80
214 智妍 74
210 梦媛 68
207 葛叶 60
209 黄曦 59

205 杨青 100
206 莱恩 80
207 葛叶 54
208 苳琦 99
209 黄曦 59
210 梦媛 68
211 涵钰 88
212 含钰 90
213 海萍 97
214 智妍 74
215 瑞楠 82

平均分为81.00

成绩为100有1人
成绩为90~99有3人
成绩为80~89有3人
成绩为70~79有1人
成绩为60~69有1人
不及格的有2人

205 杨青 100
208 苳琦 99
213 海萍 97
212 含钰 90
211 涵钰 88
215 瑞楠 82
206 莱恩 80
214 智妍 74
210 梦媛 68
207 葛叶 60
209 黄曦 59

205 杨青 100
206 莱恩 80
207 葛叶 54
208 苳琦 99
209 黄曦 59
210 梦媛 68
211 涵钰 88
212 含钰 90
213 海萍 97
214 智妍 74
215 瑞楠 82

平均分为81.00

成绩为100有1人
成绩为90~99有3人
成绩为80~89有3人
成绩为70~79有1人
成绩为60~69有1人
不及格的有2人

205 杨青 100
208 苳琦 99
213 海萍 97
212 含钰 90
211 涵钰 88
215 瑞楠 82
206 莱恩 80
214 智妍 74
210 梦媛 68
207 葛叶 60
209 黄曦 59

205 杨青 100
206 莱恩 80
207 葛叶 54
208 苳琦 99
209 黄曦 59
210 梦媛 68
211 涵钰 88
212 含钰 90
213 海萍 97
214 智妍 74
215 瑞楠 82

平均分为81.00

成绩为100有1人
成绩为90~99有3人
成绩为80~89有3人
成绩为70~79有1人
成绩为60~69有1人
不及格的有2人

205 杨青 100
208 苳琦 99
213 海萍 97
212 含钰 90
211 涵钰 88
215 瑞楠 82
206 莱恩 80
214 智妍 74
210 梦媛 68
207 葛叶 60
209 黄曦 59

205 杨青 100
206 莱恩 80
207 葛叶 54
208 苳琦 99
209 黄曦 59
210 梦媛 68
211 涵钰 88
212 含钰 90
213 海萍 97
214 智妍 74
215 瑞楠 82

平均分为81.00

成绩为100有1人
成绩为90~99有3人
成绩为80~89有3人
成绩为70~79有1人
成绩为60~69有1人
不及格的有2人

205 杨青 100
208 苳琦 99
213 海萍 97
212 含钰 90
211 涵钰 88
215 瑞楠 82
206 莱恩 80
214 智妍 74
210 梦媛 68
207 葛叶 60
209 黄曦 59

205 杨青 100
206 莱恩 80
207 葛叶 54
208 苳琦 99
209 黄曦 59
210 梦媛 68
211 涵钰 88
212 含钰 90
213 海萍 97
214 智妍 74
215 瑞楠 82

平均分为81.00

成绩为100有1人
成绩为90~99有3人
成绩为80~89有3人
成绩为70~79有1人
成绩为60~69有1人
不及格的有2人

205 杨青 100
208 苳琦 99
213 海萍 97
212 含钰 90
211 涵钰 88
215 瑞楠 82
206 莱恩 80
214 智妍 74
210 梦媛 68
207 葛叶 60
209 黄曦 59

205 杨青 100
206 莱恩 80
207 葛根 60
208 苳琦 99
209 黄曦 59
210 梦媛 68
211 涵钰 88
212 含钰 90
213 海萍 97
214 智妍 74
215 瑞楠 82

平均分为81.55

成绩为100有1人
成绩为90~99有3人
成绩为80~89有3人
成绩为70~79有1人
成绩为60~69有2人
不及格的有1人

205 杨青 100
208 苳琦 99
213 海萍 97
212 含钰 90
211 涵钰 88
215 瑞楠 82
206 莱恩 80
214 智妍 74
210 梦媛 68
207 葛根 60
209 黄曦 59

